Time (msec),Boost Pressure actual (psi),Fine Learning Knock Correction (degrees),Engine Load (Calculated) (g/rev),Main Throttle Sensor (V),Manifold Relative Pressure (Corrected) (psi),Roughness Monitor Cylinder #1 (misfire count),Roughness Monitor Cylinder #2 (misfire count),IAM (multiplier),Engine Speed (rpm),Intake Air Temperature (F),Mass Airflow (g/s),A/F Sensor #1 (Lambda),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
405,18.43,0.00,1.81,3.94,3.63,0,0,1.0000,3961,64,119.34,0.88,68.24,100.00
422,19.15,0.00,1.90,3.96,4.35,0,0,1.0000,3942,64,124.84,0.86,68.24,100.00
444,20.02,0.00,1.96,3.94,5.22,0,0,1.0000,3979,64,130.12,0.84,68.24,100.00
457,20.60,0.00,2.06,3.94,5.80,0,0,1.0000,3961,64,135.99,0.82,68.24,100.00
478,21.33,0.00,2.09,3.94,6.53,0,0,1.0000,3984,64,139.02,0.80,68.24,100.00
504,22.05,-1.00,2.21,3.94,7.25,0,0,1.0000,3994,64,147.22,0.78,68.24,100.00
521,23.07,-1.00,2.31,3.94,8.27,0,0,1.0000,4028,64,155.26,0.77,68.24,100.00
547,23.65,-1.00,2.42,3.94,8.85,0,0,1.0000,4009,64,161.38,0.76,68.24,100.00
568,24.96,-1.00,2.51,3.94,10.16,0,0,1.0000,4031,64,168.91,0.76,68.24,100.00
590,25.83,-1.00,2.62,3.94,11.03,0,0,1.0000,4056,64,176.82,0.76,68.24,100.00
610,26.70,-1.00,2.71,3.94,11.90,0,0,1.0000,4070,64,183.75,0.76,68.24,100.00
631,28.29,-1.00,2.81,3.94,13.49,0,0,1.0000,4114,64,192.88,0.76,68.24,100.00
656,29.02,-1.00,2.92,3.94,14.22,0,0,1.0000,4113,64,199.90,0.76,68.24,100.00
682,29.89,-1.00,2.99,3.94,15.09,0,0,1.0000,4130,64,205.80,0.76,67.84,100.00
703,30.62,-1.00,3.06,3.94,15.82,0,0,1.0000,4158,64,212.00,0.76,65.49,100.00
729,31.20,-1.00,3.12,3.94,16.40,0,0,1.0000,4155,64,215.75,0.76,65.49,100.00
746,31.78,-1.00,3.17,3.94,16.98,0,0,1.0000,4184,64,220.75,0.76,61.96,100.00
776,32.21,-1.00,3.19,3.94,17.41,0,0,1.0000,4204,64,223.25,0.76,61.96,100.00
806,32.65,-1.00,3.16,3.94,17.85,0,0,1.0000,4223,64,222.42,0.76,60.78,100.00
837,32.79,-1.00,3.26,3.94,17.99,0,0,1.0000,4218,64,228.86,0.76,60.78,100.00
862,32.65,-1.00,3.14,3.94,17.85,0,0,1.0000,4248,64,222.42,0.76,60.39,100.00
882,32.50,-1.00,3.13,3.94,17.70,0,0,1.0000,4319,64,225.36,0.76,60.39,100.00
904,32.21,-1.00,3.09,3.94,17.41,0,0,1.0000,4329,63,222.83,0.76,60.39,100.00
925,32.07,-1.00,3.05,3.94,17.27,0,0,1.0000,4333,63,220.33,0.76,60.78,100.00
947,31.78,-1.00,3.03,3.94,16.98,0,0,1.0000,4316,63,218.25,0.76,60.78,100.00
977,31.63,-1.00,3.03,3.94,16.83,0,0,1.0000,4350,63,219.92,0.76,61.57,100.00
1012,31.20,-1.00,2.94,3.94,16.40,0,0,1.0000,4417,63,216.17,0.76,63.14,100.00
1037,30.91,-0.75,2.97,3.94,16.11,0,0,1.0000,4421,63,219.08,0.76,63.14,100.00
1059,30.76,-0.75,2.94,3.94,15.96,0,0,1.0000,4407,63,216.17,0.76,64.31,100.00
1085,30.62,-0.75,2.95,3.94,15.82,0,0,1.0000,4436,63,218.25,0.76,65.49,100.00
1105,30.47,-0.50,2.95,3.94,15.67,0,0,1.0000,4460,63,219.08,0.76,65.49,100.00
1140,30.33,-0.50,2.96,3.94,15.53,0,0,1.0000,4464,63,219.92,0.76,66.27,100.00
1157,30.33,0.00,2.91,3.94,15.53,0,0,1.0000,4534,63,219.92,0.76,66.27,100.00
1178,30.47,0.00,2.94,3.94,15.67,0,0,1.0000,4549,63,222.83,0.76,66.67,100.00
1207,30.47,0.00,2.95,3.94,15.67,0,0,1.0000,4534,63,223.25,0.76,66.67,100.00
1228,30.47,0.00,2.97,3.94,15.67,0,0,1.0000,4550,63,225.39,0.76,67.06,100.00
1254,30.62,0.00,2.94,3.94,15.82,0,0,1.0000,4596,63,224.97,0.76,67.06,100.00
1275,30.76,0.00,2.98,3.94,15.96,0,0,1.0000,4605,63,228.86,0.76,66.27,100.00
1296,30.76,0.00,3.00,3.94,15.96,0,0,1.0000,4623,63,231.08,0.76,66.27,100.00
1318,31.05,0.00,2.99,3.94,16.25,0,0,1.0000,4663,63,232.42,0.76,65.88,100.00
1335,31.05,0.00,3.00,3.94,16.25,0,0,1.0000,4629,63,231.08,0.76,65.88,100.00
1357,31.20,0.00,3.02,3.94,16.40,0,0,1.0000,4632,63,233.30,0.76,65.49,100.00
1378,31.20,0.00,3.01,3.94,16.40,0,0,1.0000,4695,63,235.53,0.76,65.49,100.00
1404,31.34,0.00,2.97,3.94,16.54,0,0,1.0000,4752,63,235.53,0.76,64.71,100.00
1426,31.20,0.00,2.99,3.94,16.40,0,0,1.0000,4751,63,235.97,0.76,64.71,100.00
1451,31.34,0.00,3.00,3.94,16.54,0,0,1.0000,4738,63,237.30,0.76,64.71,100.00
1472,31.20,0.00,3.03,3.94,16.40,0,0,1.0000,4740,63,239.08,0.76,64.71,100.00
1494,31.20,0.00,2.97,3.94,16.40,0,0,1.0000,4793,63,236.86,0.76,64.71,100.00
1511,31.20,0.00,2.95,3.94,16.40,0,0,1.0000,4818,63,236.86,0.76,65.10,100.00
1536,31.20,0.00,2.94,3.94,16.40,0,0,1.0000,4837,63,236.86,0.76,65.10,100.00
1561,31.05,0.00,2.97,3.94,16.25,0,0,1.0000,4834,63,239.08,0.76,65.10,100.00
1587,31.05,0.00,3.01,3.94,16.25,0,0,1.0000,4823,63,242.19,0.76,65.10,100.00
1612,31.05,0.00,2.95,3.94,16.25,0,0,1.0000,4860,63,238.64,0.76,65.49,100.00
1629,31.05,0.00,2.93,3.94,16.25,0,0,1.0000,4881,63,238.19,0.76,65.10,100.00
1654,30.91,0.00,2.92,3.94,16.11,0,0,1.0000,4894,63,238.19,0.76,65.10,100.00
1680,30.91,0.00,2.95,3.94,16.11,0,0,1.0000,4922,63,242.19,0.76,65.49,100.00
1706,30.91,0.00,2.91,3.94,16.11,0,0,1.0000,4968,63,241.30,0.76,65.49,100.00
1728,30.91,0.00,2.97,3.94,16.11,0,0,1.0000,4960,63,245.30,0.76,65.88,100.00
1757,30.76,0.00,2.89,3.94,15.96,0,0,1.0000,5019,63,241.75,0.76,65.88,100.00
1779,30.76,0.00,2.94,3.94,15.96,0,0,1.0000,5005,63,245.30,0.76,65.49,100.00
1801,30.76,0.00,2.91,3.94,15.96,0,0,1.0000,5014,63,243.08,0.76,65.49,100.00
1822,30.76,0.00,2.92,3.94,15.96,0,0,1.0000,5072,63,246.66,0.76,65.49,100.00
1843,30.62,0.00,2.89,3.94,15.82,0,0,1.0000,5051,63,243.52,0.76,65.88,100.00
1864,30.62,0.00,2.89,3.94,15.82,0,0,1.0000,5057,63,243.97,0.76,65.88,100.00
1889,30.62,0.00,2.89,3.94,15.82,0,0,1.0000,5052,63,243.52,0.76,65.88,100.00
1911,30.62,0.00,2.89,3.94,15.82,0,0,1.0000,5139,63,247.12,0.76,65.88,100.00
1937,30.47,0.00,2.88,3.94,15.67,0,0,1.0000,5158,63,247.59,0.76,65.88,100.00
1959,30.47,0.00,2.84,3.94,15.67,0,0,1.0000,5169,63,244.86,0.76,65.88,100.00
1983,30.47,0.00,2.94,3.94,15.67,0,0,1.0000,5146,63,251.76,0.76,65.88,100.00
2009,30.47,0.00,2.87,3.94,15.67,0,0,1.0000,5206,63,249.42,0.76,65.88,100.00
2031,30.47,0.00,2.85,3.94,15.67,0,0,1.0000,5236,63,248.48,0.76,65.88,100.00
2052,30.47,0.00,2.83,3.94,15.67,0,0,1.0000,5248,63,247.12,0.76,65.49,100.00
2073,30.47,0.00,2.86,3.94,15.67,0,0,1.0000,5213,63,248.48,0.76,65.49,100.00
2098,30.47,0.00,2.81,3.94,15.67,0,0,1.0000,5263,63,246.19,0.76,65.88,100.00
2120,30.47,0.00,2.84,3.94,15.67,0,0,1.0000,5295,63,250.82,0.76,65.88,100.00
2136,30.33,0.00,2.86,3.94,15.53,0,0,1.0000,5276,63,251.29,0.76,65.10,100.00
2158,30.33,0.00,2.83,3.94,15.53,0,0,1.0000,5319,63,250.82,0.76,65.10,100.00
2179,30.33,0.00,2.87,3.94,15.53,0,0,1.0000,5282,63,252.69,0.76,65.10,100.00
2201,30.33,0.00,2.84,3.94,15.53,0,0,1.0000,5293,63,250.82,0.76,65.10,100.00
2228,30.33,0.00,2.84,3.94,15.53,0,0,1.0000,5316,63,251.76,0.76,65.10,100.00
2251,30.18,0.00,2.85,3.94,15.38,0,0,1.0000,5354,63,254.57,0.76,65.10,100.00
2271,30.18,0.00,2.83,3.94,15.38,0,0,1.0000,5400,63,254.57,0.76,65.10,100.00
2294,30.18,0.00,2.83,3.94,15.38,0,0,1.0000,5366,63,253.16,0.76,65.10,100.00
2323,30.18,0.00,2.82,3.94,15.38,0,0,1.0000,5373,63,252.69,0.76,64.71,100.00
2341,30.18,0.00,2.83,3.94,15.38,0,0,1.0000,5394,63,254.10,0.76,64.71,100.00
2368,30.18,0.00,2.76,3.94,15.38,0,0,1.0000,5463,63,251.29,0.76,64.31,100.00
2386,30.04,0.00,2.77,3.94,15.24,0,0,1.0000,5484,63,253.16,0.76,64.31,100.00
2408,30.04,0.00,2.78,3.94,15.24,0,0,1.0000,5498,63,255.03,0.76,64.71,100.00
2432,30.04,0.00,2.79,3.94,15.24,0,0,1.0000,5458,63,253.63,0.76,64.71,100.00
2456,30.04,0.00,2.79,3.94,15.24,0,0,1.0000,5457,63,253.63,0.76,64.71,100.00
2479,29.89,0.00,2.77,3.94,15.09,0,0,1.0000,5514,63,254.10,0.76,64.71,100.00
2503,29.89,0.00,2.78,3.94,15.09,0,0,1.0000,5556,63,255.50,0.76,64.71,100.00
2537,29.75,0.00,2.74,3.94,14.95,0,0,1.0000,5566,63,254.10,0.76,64.71,100.00
2560,29.75,0.00,2.74,3.94,14.95,0,0,1.0000,5574,63,255.03,0.76,64.71,100.00
2584,29.60,0.00,2.76,3.94,14.80,0,0,1.0000,5554,63,255.03,0.76,64.71,100.00
2608,29.60,0.00,2.73,3.94,14.80,0,0,1.0000,5612,63,255.03,0.76,64.31,100.00
2639,29.60,0.00,2.74,3.94,14.80,0,0,1.0000,5635,63,256.91,0.76,64.31,100.00
2663,29.45,0.00,2.75,3.94,14.65,0,0,1.0000,5604,63,256.91,0.76,64.31,100.00
2686,29.60,0.00,2.74,3.94,14.80,0,0,1.0000,5612,63,255.97,0.76,64.31,100.00
2710,29.45,0.00,2.73,3.94,14.65,0,0,1.0000,5641,63,256.91,0.76,64.31,100.00
2734,29.45,0.00,2.72,3.94,14.65,0,0,1.0000,5694,63,257.84,0.76,64.31,100.00
2756,29.45,0.00,2.72,3.94,14.65,0,0,1.0000,5663,63,256.91,0.76,64.31,100.00
2779,29.31,0.00,2.71,3.94,14.51,0,0,1.0000,5713,63,257.84,0.76,64.31,100.00
2801,29.45,0.00,2.72,3.94,14.65,0,0,1.0000,5676,63,256.91,0.76,64.71,100.00
2828,29.45,0.00,2.71,3.94,14.65,0,0,1.0000,5746,63,259.72,0.76,64.71,100.00
2847,29.31,0.00,2.70,3.94,14.51,0,0,1.0000,5763,63,259.72,0.76,64.71,100.00
2870,29.31,0.00,2.72,3.94,14.51,0,0,1.0000,5724,63,259.72,0.76,64.71,100.00
2898,29.31,0.00,2.69,3.94,14.51,0,0,1.0000,5794,63,260.18,0.76,64.71,100.00
2920,29.31,0.00,2.67,3.94,14.51,0,0,1.0000,5812,63,258.78,0.76,64.71,100.00
2944,29.31,0.00,2.73,3.94,14.51,0,0,1.0000,5774,63,262.58,0.76,64.71,100.00
2968,29.16,0.00,2.68,3.94,14.36,0,0,1.0000,5830,63,260.18,0.76,64.71,100.00
2991,29.16,0.00,2.71,3.94,14.36,0,0,1.0000,5796,63,262.08,0.76,64.71,100.00
3015,29.16,0.00,2.67,3.94,14.36,0,0,1.0000,5866,63,261.14,0.76,64.71,100.00
3038,29.16,0.00,2.71,3.94,14.36,0,0,1.0000,5822,63,263.03,0.76,64.71,100.00
3061,29.02,0.00,2.68,3.94,14.22,0,0,1.0000,5855,63,261.61,0.76,64.71,100.00
3085,29.16,0.00,2.67,3.94,14.36,0,0,1.0000,5858,63,261.12,0.76,64.71,100.00
3109,29.16,0.00,2.64,3.94,14.36,0,0,1.0000,5916,63,260.20,0.76,64.71,100.00
3133,29.16,0.00,2.64,3.94,14.36,0,0,1.0000,5930,63,261.12,0.76,64.31,100.00
3156,29.02,0.00,2.62,3.94,14.22,0,0,1.0000,5947,63,259.72,0.76,64.31,100.00
3180,29.02,0.00,2.65,3.94,14.22,0,0,1.0000,5952,63,263.03,0.76,63.53,100.00
3204,29.02,0.00,2.63,3.94,14.22,0,0,1.0000,5971,63,262.08,0.76,63.53,100.00
3226,29.02,0.00,2.67,3.94,14.22,0,0,1.0000,5944,63,264.98,0.76,63.14,100.00
3260,29.02,0.00,2.66,3.94,14.22,0,0,1.0000,5946,63,264.01,0.76,63.14,100.00
3279,29.02,0.00,2.65,3.94,14.22,0,0,1.0000,5964,63,263.52,0.76,63.53,100.00
3301,28.87,0.00,2.62,3.94,14.07,0,0,1.0000,6028,63,263.03,0.76,63.53,100.00
3329,28.87,0.00,2.61,3.94,14.07,0,0,1.0000,6043,63,262.56,0.76,62.75,100.00
3353,28.73,0.00,2.63,3.94,13.93,0,0,1.0000,6008,63,263.03,0.76,62.75,100.00
3376,28.87,0.00,2.65,3.94,14.07,0,0,1.0000,6014,63,265.47,0.76,62.75,100.00
3404,28.87,0.00,2.63,3.94,14.07,0,0,1.0000,6026,63,264.01,0.76,62.75,100.00
3426,28.87,0.00,2.58,3.94,14.07,0,0,1.0000,6098,63,262.08,0.76,61.96,100.00
3451,28.73,0.00,2.60,3.94,13.93,0,0,1.0000,6108,63,264.49,0.76,62.35,100.00
3468,28.73,0.00,2.58,3.94,13.93,0,0,1.0000,6114,63,262.56,0.76,62.35,100.00
3497,28.58,0.00,2.58,3.94,13.78,0,0,1.0000,6086,63,262.06,0.76,62.35,100.00
