Time (msec),Boost Pressure actual (psi),Fine Learning Knock Correction (degrees),Engine Load (Calculated) (g/rev),Main Throttle Sensor (V),Manifold Relative Pressure (Corrected) (psi),Roughness Monitor Cylinder #1 (misfire count),Roughness Monitor Cylinder #2 (misfire count),IAM (multiplier),Engine Speed (rpm),Intake Air Temperature (F),Mass Airflow (g/s),A/F Sensor #1 (Lambda),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,6.24,0.00,0.53,1.10,-8.56,0,0,1.0000,3844,64,33.98,1.07,36.86,16.47
22,6.38,0.00,0.53,1.10,-8.42,0,0,1.0000,3866,64,34.09,1.05,36.86,16.86
48,6.53,0.00,0.54,1.12,-8.27,0,0,1.0000,3860,64,34.88,1.02,36.86,16.86
64,6.67,0.00,0.56,1.12,-8.13,0,0,1.0000,3860,64,35.84,0.99,36.86,17.25
89,6.82,0.00,0.57,1.16,-7.98,0,0,1.0000,3867,64,36.93,0.97,36.86,18.43
105,7.11,0.00,0.62,1.22,-7.69,0,0,1.0000,3873,64,40.21,0.95,36.86,20.00
131,7.69,0.00,0.71,1.28,-7.11,0,0,1.0000,3851,64,45.61,0.95,36.86,21.96
152,8.42,0.00,0.79,1.38,-6.38,0,0,1.0000,3878,64,51.02,0.95,36.47,25.49
173,10.45,0.00,0.99,1.52,-4.35,0,0,1.0000,3862,64,63.95,0.93,36.47,29.80
195,12.04,0.00,1.17,1.70,-2.76,0,0,1.0000,3875,64,75.62,0.91,51.37,34.90
224,12.91,0.00,1.28,1.84,-1.89,0,0,1.0000,3879,64,82.70,0.95,51.37,39.22
246,13.93,0.00,1.32,2.04,-0.87,0,0,1.0000,3903,64,86.00,0.97,53.33,44.71
267,14.65,0.00,1.39,2.28,-0.15,0,0,1.0000,3910,64,90.25,1.00,53.33,52.94
289,15.38,0.00,1.46,2.54,0.58,0,0,1.0000,3921,64,95.62,1.00,61.18,61.57
311,15.96,0.00,1.56,2.84,1.16,0,0,1.0000,3902,64,101.12,0.97,61.18,69.80
337,16.54,0.00,1.62,3.14,1.74,0,0,1.0000,3902,64,105.14,0.95,66.67,77.25
359,17.27,0.00,1.68,3.82,2.47,0,0,1.0000,3937,64,110.16,0.91,66.67,100.00
380,17.85,0.00,1.73,3.94,3.05,0,0,1.0000,3952,64,113.63,0.90,68.24,100.00
