Time (msec),Boost Pressure actual (psi),Fine Learning Knock Correction (degrees),Engine Load (Calculated) (g/rev),Main Throttle Sensor (V),Manifold Relative Pressure (Corrected) (psi),Roughness Monitor Cylinder #1 (misfire count),Roughness Monitor Cylinder #2 (misfire count),IAM (multiplier),Engine Speed (rpm),Intake Air Temperature (F),Mass Airflow (g/s),A/F Sensor #1 (Lambda),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Manifold Relative Pressure (psi)
10963,15.67,0.00,1.04,1.10,0.87,0,0,1.0000,6464,64,112.54,0.76,0.00,17.25,0.87
11004,10.88,0.00,0.51,0.98,-3.92,0,0,1.0000,6240,64,53.46,0.76,0.00,12.94,-3.77
11044,8.27,0.00,0.32,0.94,-6.53,0,0,1.0000,6289,64,33.94,0.76,0.00,11.37,-6.53
11083,7.11,0.00,0.24,0.92,-7.69,0,0,1.0000,6253,64,24.98,0.76,0.00,10.98,-7.69
11133,5.95,0.00,0.18,0.92,-8.85,0,0,1.0000,6139,64,18.61,0.76,0.00,10.98,-8.71
11182,4.64,0.00,0.17,0.90,-10.16,0,0,1.0000,5992,64,16.63,0.79,0.00,10.59,-10.16
11231,4.35,0.00,0.18,0.90,-10.45,0,0,1.0000,5953,64,17.67,0.80,0.00,10.59,-10.45
11280,4.21,0.00,0.18,0.90,-10.59,0,0,1.0000,5823,64,17.74,0.83,0.00,10.59,-10.59
11321,4.06,0.00,0.18,0.90,-10.74,0,0,1.0000,5782,64,17.16,0.85,0.00,10.59,-10.74
11370,3.92,0.00,0.17,0.90,-10.88,0,0,1.0000,5678,64,16.24,0.87,0.00,10.59,-10.88
11410,3.77,0.00,0.17,0.90,-11.03,0,0,1.0000,5616,64,16.05,0.89,0.00,10.20,-11.03
11451,3.77,0.00,0.16,0.90,-11.03,0,0,1.0000,5568,64,14.92,0.91,0.00,10.20,-11.03
11489,3.63,0.00,0.17,0.88,-11.17,0,0,1.0000,5437,64,15.12,0.94,0.00,10.20,-11.17
11536,3.48,0.00,0.17,0.88,-11.32,0,0,1.0000,5367,64,14.86,0.96,0.00,10.20,-11.32
11577,3.48,0.00,0.17,0.88,-11.32,0,0,1.0000,5293,64,14.73,0.99,0.00,10.20,-11.32
11626,3.48,0.00,0.17,0.88,-11.32,0,0,1.0000,5276,64,14.53,1.02,0.00,9.80,-11.32
