Time (msec),Boost Pressure actual (psi),Fine Learning Knock Correction (degrees),Engine Load (Calculated) (g/rev),Main Throttle Sensor (V),Manifold Relative Pressure (Corrected) (psi),Roughness Monitor Cylinder #1 (misfire count),Roughness Monitor Cylinder #2 (misfire count),IAM (multiplier),Engine Speed (rpm),Intake Air Temperature (F),Mass Airflow (g/s),A/F Sensor #1 (Lambda),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
1273,31.49,-1.00,3.11,3.94,16.69,0,0,1.0000,4088,64,212.00,0.76,65.10,100.00
1311,32.21,-1.00,3.21,3.94,17.41,0,0,1.0000,4116,64,219.92,0.76,61.57,100.00
1349,32.50,-1.00,3.17,3.94,17.70,0,0,1.0000,4128,64,217.83,0.76,61.57,100.00
1377,32.79,-1.00,3.20,3.94,17.99,0,0,1.0000,4128,64,220.33,0.76,60.39,100.00
1421,32.94,-1.00,3.16,3.94,18.14,0,0,1.0000,4140,63,218.25,0.76,60.39,100.00
1457,32.94,-1.00,3.15,3.94,18.14,0,0,1.0000,4190,63,219.92,0.76,60.00,100.00
1509,32.65,-1.00,3.09,3.94,17.85,0,0,1.0000,4203,63,216.17,0.76,60.00,100.00
1558,32.50,-1.00,3.14,3.94,17.70,0,0,1.0000,4193,63,219.50,0.76,60.39,100.00
1596,32.07,-1.00,3.04,3.94,17.27,0,0,1.0000,4261,63,215.75,0.76,60.78,100.00
1632,31.92,-1.00,3.02,3.94,17.12,0,0,1.0000,4288,63,216.17,0.76,60.78,100.00
1670,31.49,-1.00,3.03,3.94,16.69,0,0,1.0000,4275,63,215.75,0.76,61.57,100.00
1713,31.49,-1.00,3.02,3.94,16.69,0,0,1.0000,4282,63,215.33,0.76,61.57,100.00
1757,31.20,-1.00,2.99,3.94,16.40,0,0,1.0000,4316,63,215.33,0.76,62.75,100.00
1795,30.91,-1.00,2.96,3.94,16.11,0,0,1.0000,4368,63,215.75,0.76,62.75,100.00
1839,30.91,-1.00,2.95,3.94,16.11,0,0,1.0000,4347,63,213.67,0.76,63.92,100.00
1877,30.91,-1.00,2.97,3.94,16.11,0,0,1.0000,4378,63,216.58,0.76,63.92,100.00
1922,30.62,-1.00,2.92,3.94,15.82,0,0,1.0000,4409,63,214.50,0.76,65.10,100.00
1958,30.62,-1.00,2.93,3.94,15.82,0,0,1.0000,4422,63,216.17,0.76,65.49,100.00
1996,30.62,-0.75,2.98,3.94,15.82,0,0,1.0000,4436,63,220.33,0.76,65.49,100.00
2040,30.76,-0.75,2.98,3.94,15.96,0,0,1.0000,4471,63,222.42,0.76,65.49,100.00
2083,30.76,0.00,2.98,3.94,15.96,0,0,1.0000,4483,63,222.83,0.76,65.49,100.00
2121,30.91,0.00,2.95,3.94,16.11,0,0,1.0000,4513,63,221.58,0.76,65.10,100.00
2159,30.91,0.00,3.00,3.94,16.11,0,0,1.0000,4530,63,226.64,0.76,65.10,100.00
2205,30.91,0.00,2.95,3.94,16.11,0,0,1.0000,4526,63,222.83,0.76,65.10,100.00
2241,30.91,0.00,3.02,3.94,16.11,0,0,1.0000,4558,63,229.31,0.76,65.10,100.00
2284,31.05,0.00,3.02,3.94,16.25,0,0,1.0000,4549,63,228.86,0.76,64.71,100.00
2322,31.05,0.00,2.99,3.94,16.25,0,0,1.0000,4604,63,229.75,0.76,64.71,100.00
2358,31.05,0.00,3.03,3.94,16.25,0,0,1.0000,4599,63,231.97,0.76,64.71,100.00
2403,31.20,0.00,3.01,3.94,16.40,0,0,1.0000,4640,63,232.86,0.76,64.71,100.00
2449,31.20,0.00,3.00,3.94,16.40,0,0,1.0000,4657,63,232.86,0.76,64.71,100.00
2479,31.34,0.00,3.01,3.94,16.54,0,0,1.0000,4665,63,233.75,0.76,64.31,100.00
2532,31.20,0.00,3.02,3.94,16.40,0,0,1.0000,4666,63,234.64,0.76,64.31,100.00
2560,31.20,0.00,2.99,3.94,16.40,0,0,1.0000,4714,63,235.08,0.76,64.31,100.00
2598,31.34,0.00,3.03,3.94,16.54,0,0,1.0000,4702,63,237.30,0.76,64.31,100.00
2644,31.20,0.00,3.00,3.94,16.40,0,0,1.0000,4721,63,236.41,0.76,64.71,100.00
2682,31.20,0.00,3.02,3.94,16.40,0,0,1.0000,4744,63,239.08,0.76,64.71,100.00
2726,31.05,0.00,2.95,3.94,16.25,0,0,1.0000,4783,63,235.08,0.76,64.71,100.00
2770,31.20,0.00,2.97,3.94,16.40,0,0,1.0000,4769,63,235.97,0.76,64.71,100.00
2808,31.20,0.00,2.98,3.94,16.40,0,0,1.0000,4800,63,238.64,0.76,65.10,100.00
2846,31.05,0.00,2.95,3.94,16.25,0,0,1.0000,4854,63,239.08,0.76,65.10,100.00
2884,31.05,0.00,2.98,3.94,16.25,0,0,1.0000,4810,63,239.08,0.76,65.10,100.00
2925,31.20,0.00,2.97,3.94,16.40,0,0,1.0000,4835,63,239.52,0.76,65.10,100.00
2963,31.05,0.00,2.92,3.94,16.25,0,0,1.0000,4896,63,238.19,0.76,65.49,100.00
3001,31.05,0.00,3.00,3.94,16.25,0,0,1.0000,4876,63,243.52,0.76,65.49,100.00
3037,31.05,0.00,2.94,3.94,16.25,0,0,1.0000,4890,63,239.52,0.76,65.10,100.00
3075,31.05,0.00,2.93,3.94,16.25,0,0,1.0000,4944,63,241.30,0.76,65.10,100.00
3119,31.05,0.00,2.90,3.94,16.25,0,0,1.0000,4978,63,240.86,0.76,64.71,100.00
3147,30.91,0.00,2.92,3.94,16.11,0,0,1.0000,4991,63,243.08,0.76,64.71,100.00
3183,30.91,0.00,2.90,3.94,16.11,0,0,1.0000,4957,63,239.97,0.76,65.10,100.00
3234,30.91,0.00,2.95,3.94,16.11,0,0,1.0000,4969,63,243.97,0.76,65.10,100.00
3268,30.91,0.00,2.88,3.94,16.11,0,0,1.0000,5039,63,242.19,0.76,65.10,100.00
3306,30.91,0.00,2.92,3.94,16.11,0,0,1.0000,5008,63,243.52,0.76,65.10,100.00
3352,30.76,0.00,2.93,3.94,15.96,0,0,1.0000,5028,63,245.30,0.76,65.10,100.00
3380,30.76,0.00,2.90,3.94,15.96,0,0,1.0000,5084,63,245.74,0.76,65.49,100.00
3419,30.76,0.00,2.94,3.94,15.96,0,0,1.0000,5052,63,247.17,0.76,65.49,100.00
3455,30.76,0.00,2.89,3.94,15.96,0,0,1.0000,5115,63,246.70,0.76,65.10,100.00
3493,30.76,0.00,2.87,3.94,15.96,0,0,1.0000,5132,63,245.30,0.76,65.10,100.00
3536,30.62,0.00,2.84,3.94,15.82,0,0,1.0000,5160,63,244.41,0.76,65.10,100.00
3580,30.62,0.00,2.84,3.94,15.82,0,0,1.0000,5163,63,244.41,0.76,65.10,100.00
3616,30.62,0.00,2.87,3.94,15.82,0,0,1.0000,5148,63,246.66,0.76,65.10,100.00
3644,30.62,0.00,2.87,3.94,15.82,0,0,1.0000,5173,63,247.10,0.76,65.10,100.00
3703,30.62,0.00,2.86,3.94,15.82,0,0,1.0000,5221,63,248.97,0.76,65.49,100.00
3757,30.62,0.00,2.90,3.94,15.82,0,0,1.0000,5202,63,251.29,0.76,65.10,100.00
3802,30.47,0.00,2.90,3.94,15.67,0,0,1.0000,5226,63,252.23,0.76,65.10,100.00
3856,30.47,0.00,2.86,3.94,15.67,0,0,1.0000,5292,63,252.69,0.76,65.10,100.00
3894,30.47,0.00,2.89,3.94,15.67,0,0,1.0000,5254,63,252.69,0.76,65.10,100.00
3932,30.33,0.00,2.82,3.94,15.53,0,0,1.0000,5332,63,250.82,0.76,64.71,100.00
3969,30.33,0.00,2.83,3.94,15.53,0,0,1.0000,5345,63,252.23,0.76,64.71,100.00
4007,30.47,0.00,2.88,3.94,15.67,0,0,1.0000,5294,63,254.10,0.76,64.71,100.00
4045,30.33,0.00,2.85,3.94,15.53,0,0,1.0000,5323,63,253.16,0.76,64.71,100.00
4089,30.33,0.00,2.82,3.94,15.53,0,0,1.0000,5338,61,250.82,0.76,64.71,100.00
4133,30.33,0.00,2.84,3.94,15.53,0,0,1.0000,5371,61,254.57,0.76,64.31,100.00
4170,30.18,0.00,2.81,3.94,15.38,0,0,1.0000,5425,61,253.63,0.76,64.31,100.00
4232,30.18,0.00,2.87,3.94,15.38,0,0,1.0000,5388,61,257.37,0.76,64.31,100.00
4285,30.18,0.00,2.81,3.94,15.38,0,0,1.0000,5460,61,255.97,0.76,64.31,100.00
4323,30.04,0.00,2.82,3.94,15.24,0,0,1.0000,5482,61,257.37,0.76,64.31,100.00
4361,30.04,0.00,2.77,3.94,15.24,0,0,1.0000,5497,61,254.10,0.76,64.31,100.00
4399,30.04,0.00,2.75,3.94,15.24,0,0,1.0000,5518,61,253.16,0.76,64.31,100.00
4450,29.89,0.00,2.78,3.94,15.09,0,0,1.0000,5525,61,255.97,0.76,64.31,100.00
4488,29.89,0.00,2.77,3.94,15.09,0,0,1.0000,5539,61,255.97,0.76,64.31,100.00
4524,29.89,0.00,2.79,3.94,15.09,0,0,1.0000,5557,61,258.78,0.76,63.92,100.00
4562,29.89,0.00,2.76,3.94,15.09,0,0,1.0000,5592,61,256.91,0.76,63.92,100.00
4600,29.89,0.00,2.76,3.94,15.09,0,0,1.0000,5549,61,255.50,0.76,63.53,100.00
4630,29.75,0.00,2.76,3.94,14.95,0,0,1.0000,5570,61,256.44,0.76,63.53,100.00
4675,29.75,0.00,2.79,3.94,14.95,0,0,1.0000,5564,61,258.78,0.76,63.53,100.00
4722,29.75,0.00,2.75,3.94,14.95,0,0,1.0000,5634,61,258.31,0.76,63.53,100.00
4752,29.60,0.00,2.73,3.94,14.80,0,0,1.0000,5654,61,257.37,0.76,63.53,100.00
4790,29.60,0.00,2.72,3.94,14.80,0,0,1.0000,5676,61,257.37,0.76,63.53,100.00
4834,29.45,0.00,2.70,3.94,14.65,0,0,1.0000,5688,61,255.50,0.76,63.53,100.00
4872,29.45,0.00,2.73,3.94,14.65,0,0,1.0000,5651,61,257.37,0.76,63.92,100.00
4909,29.31,0.00,2.70,3.94,14.51,0,0,1.0000,5702,61,256.44,0.76,63.92,100.00
4947,29.45,0.00,2.73,3.94,14.65,0,0,1.0000,5684,61,258.78,0.76,63.92,100.00
4985,29.31,0.00,2.70,3.94,14.51,0,0,1.0000,5695,61,256.44,0.76,63.92,100.00
5035,29.31,0.00,2.71,3.94,14.51,0,0,1.0000,5764,61,260.65,0.76,63.92,100.00
5086,29.31,0.00,2.70,3.94,14.51,0,0,1.0000,5722,61,257.84,0.76,63.92,100.00
5114,29.16,0.00,2.68,3.94,14.36,0,0,1.0000,5790,61,258.31,0.76,63.92,100.00
5152,29.31,0.00,2.69,3.94,14.51,0,0,1.0000,5753,61,258.31,0.76,63.92,100.00
5206,29.16,0.00,2.71,3.94,14.36,0,0,1.0000,5776,61,261.14,0.76,63.92,100.00
5247,29.16,0.00,2.66,3.94,14.36,0,0,1.0000,5840,61,259.25,0.76,64.31,100.00
5285,29.16,0.00,2.64,3.94,14.36,0,0,1.0000,5852,61,257.37,0.76,64.31,100.00
5325,29.16,0.00,2.65,3.94,14.36,0,0,1.0000,5867,61,258.78,0.76,63.92,100.00
5367,29.02,0.00,2.71,3.94,14.22,0,0,1.0000,5878,61,265.47,0.76,63.92,100.00
5415,29.16,0.00,2.64,3.94,14.36,0,0,1.0000,5889,61,258.78,0.76,63.92,100.00
5474,29.16,0.00,2.68,3.94,14.36,0,0,1.0000,5857,61,262.08,0.76,63.92,100.00
5516,29.02,0.00,2.66,3.94,14.22,0,0,1.0000,5890,61,260.67,0.76,63.92,100.00
5549,29.02,0.00,2.64,3.94,14.22,0,0,1.0000,5898,61,259.72,0.76,63.53,100.00
5590,29.02,0.00,2.66,3.94,14.22,0,0,1.0000,5904,61,262.08,0.76,63.53,100.00
5632,29.02,0.00,2.63,3.94,14.22,0,0,1.0000,5966,61,261.12,0.76,63.53,100.00
5689,29.02,0.00,2.66,3.94,14.22,0,0,1.0000,5932,61,263.05,0.76,63.53,100.00
5747,28.87,0.00,2.62,3.94,14.07,0,0,1.0000,6012,61,262.56,0.76,63.53,100.00
5789,28.87,0.00,2.66,3.94,14.07,0,0,1.0000,5978,61,264.98,0.76,62.75,100.00
5831,28.87,0.00,2.67,3.94,14.07,0,0,1.0000,5974,61,265.96,0.76,62.75,100.00
5872,28.87,0.00,2.63,3.94,14.07,0,0,1.0000,5994,61,262.56,0.76,62.35,100.00
5914,28.73,0.00,2.64,3.94,13.93,0,0,1.0000,6019,61,264.98,0.76,62.35,100.00
5973,28.87,0.00,2.61,3.94,14.07,0,0,1.0000,6029,61,262.56,0.76,62.35,100.00
6004,28.73,0.00,2.59,3.94,13.93,0,0,1.0000,6094,61,263.03,0.76,62.35,100.00
6045,28.73,0.00,2.60,3.94,13.93,0,0,1.0000,6049,61,262.08,0.76,61.57,100.00
6093,28.73,0.00,2.59,3.94,13.93,0,0,1.0000,6116,61,264.49,0.76,61.57,100.00
6135,28.73,0.00,2.59,3.94,13.93,0,0,1.0000,6076,61,262.08,0.76,61.96,100.00
6185,28.73,0.00,2.61,3.94,13.93,0,0,1.0000,6146,61,266.93,0.76,61.96,100.00
6227,28.73,0.00,2.55,3.94,13.93,0,0,1.0000,6161,61,262.08,0.76,60.78,100.00
6286,28.58,0.00,2.56,3.94,13.78,0,0,1.0000,6166,61,263.52,0.76,61.57,100.00
6323,28.58,0.00,2.56,3.94,13.78,0,0,1.0000,6133,61,262.08,0.76,61.57,100.00
6365,28.58,0.00,2.58,3.94,13.78,0,0,1.0000,6195,61,266.44,0.76,60.00,100.00
6415,28.58,0.00,2.54,3.94,13.78,0,0,1.0000,6209,61,262.56,0.76,60.00,100.00
6463,28.44,0.00,2.58,3.94,13.64,0,0,1.0000,6164,61,264.98,0.76,60.00,100.00
6505,28.58,0.00,2.59,3.94,13.78,0,0,1.0000,6176,61,266.44,0.76,60.00,100.00
6546,28.58,0.00,2.56,3.94,13.78,0,0,1.0000,6193,61,264.01,0.76,59.22,100.00
6588,28.44,0.00,2.56,3.94,13.64,0,0,1.0000,6252,61,266.93,0.76,59.22,100.00
6630,28.44,0.00,2.52,3.94,13.64,0,0,1.0000,6278,61,264.01,0.76,58.43,100.00
6671,28.44,0.00,2.50,3.94,13.64,0,0,1.0000,6285,61,262.08,0.76,58.43,100.00
6713,28.44,0.00,2.52,3.94,13.64,0,0,1.0000,6242,61,262.08,0.76,58.82,100.00
6744,28.29,0.00,2.54,3.94,13.49,0,0,1.0000,6248,61,264.98,0.76,58.82,100.00
6792,28.29,0.00,2.55,3.94,13.49,0,0,1.0000,6242,61,264.98,0.76,58.04,100.00
6849,28.29,0.00,2.50,3.94,13.49,0,0,1.0000,6330,61,263.54,0.76,58.04,100.00
6897,28.29,0.00,2.53,3.94,13.49,0,0,1.0000,6296,61,264.98,0.76,58.04,100.00
6936,28.15,0.00,2.51,3.94,13.35,0,0,1.0000,6301,61,263.52,0.76,58.04,100.00
6976,28.15,0.00,2.49,3.94,13.35,0,0,1.0000,6360,61,263.52,0.76,58.04,100.00
7015,28.15,0.00,2.50,3.94,13.35,0,0,1.0000,6309,61,263.05,0.76,58.04,100.00
7068,28.15,0.00,2.50,3.94,13.35,0,0,1.0000,6332,61,264.01,0.76,58.04,100.00
7109,28.15,0.00,2.47,3.94,13.35,0,0,1.0000,6406,61,263.52,0.76,57.65,100.00
7149,28.00,0.00,2.45,3.94,13.20,0,0,1.0000,6405,61,261.59,0.76,57.65,100.00
7199,28.00,0.00,2.47,3.94,13.20,0,0,1.0000,6407,61,264.01,0.76,57.65,100.00
7241,28.00,0.00,2.45,3.94,13.20,0,0,1.0000,6438,61,263.03,0.76,57.65,100.00
