Time (msec),Boost Pressure actual (psi),Fine Learning Knock Correction (degrees),Engine Load (Calculated) (g/rev),Main Throttle Sensor (V),Manifold Relative Pressure (Corrected) (psi),Roughness Monitor Cylinder #1 (misfire count),Roughness Monitor Cylinder #2 (misfire count),IAM (multiplier),Engine Speed (rpm),Intake Air Temperature (F),Mass Airflow (g/s),A/F Sensor #1 (Lambda),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,3.77,0.00,0.25,0.92,-11.03,0,0,1.0000,3753,64,15.39,1.00,38.82,10.98
28,3.92,0.00,0.28,0.98,-10.88,0,0,1.0000,3724,64,17.16,1.00,38.82,12.94
64,4.21,0.00,0.34,1.08,-10.59,0,0,1.0000,3722,64,21.24,1.00,38.82,16.08
102,5.51,0.00,0.49,1.22,-9.29,0,0,1.0000,3739,64,30.83,1.00,38.82,20.00
140,6.53,0.00,0.64,1.34,-8.27,0,0,1.0000,3789,64,40.70,0.98,38.43,23.92
178,9.00,0.00,0.87,1.50,-5.80,0,0,1.0000,3809,64,55.20,0.96,38.43,28.24
223,10.74,0.00,1.04,1.86,-4.06,0,0,1.0000,3854,64,66.67,0.94,53.33,36.86
261,13.20,0.00,1.36,2.46,-1.60,0,0,1.0000,3797,64,86.27,0.95,53.33,56.86
298,13.78,0.00,1.33,2.78,-1.02,0,0,1.0000,3752,64,82.87,0.98,60.00,69.02
332,14.22,0.00,1.31,2.98,-0.58,0,0,1.0000,3776,64,82.66,1.01,60.00,74.51
370,14.65,0.00,1.34,3.32,-0.15,0,0,1.0000,3791,64,84.36,1.05,66.67,82.35
408,14.95,0.00,1.36,3.78,0.15,0,0,1.0000,3794,64,86.27,1.02,66.67,99.61
454,15.24,0.00,1.40,3.90,0.44,0,0,1.0000,3792,64,88.70,0.98,68.24,100.00
482,15.82,0.00,1.47,3.94,1.02,0,0,1.0000,3818,64,93.77,0.95,68.24,100.00
520,16.11,0.00,1.50,3.94,1.31,0,0,1.0000,3805,64,95.39,0.94,68.24,100.00
569,16.54,0.00,1.57,3.94,1.74,0,0,1.0000,3826,64,100.12,0.91,68.24,100.00
617,17.41,0.00,1.65,3.94,2.61,0,0,1.0000,3866,64,106.64,0.88,68.24,100.00
663,18.14,0.00,1.73,3.94,3.34,0,0,1.0000,3842,64,110.97,0.85,68.24,100.00
699,18.86,0.00,1.82,3.94,4.06,0,0,1.0000,3874,64,117.71,0.83,68.24,100.00
742,19.59,0.00,1.93,3.94,4.79,0,0,1.0000,3873,64,124.32,0.80,68.24,100.00
794,20.46,0.00,2.00,3.94,5.66,0,0,1.0000,3918,64,130.71,0.78,68.24,100.00
837,21.33,0.00,2.09,3.94,6.53,0,0,1.0000,3907,64,136.31,0.77,68.24,100.00
891,22.35,-1.00,2.22,3.94,7.55,0,0,1.0000,3925,64,145.00,0.76,68.24,100.00
929,23.65,-1.00,2.36,3.94,8.85,0,0,1.0000,3928,64,154.58,0.76,68.24,100.00
967,24.52,-1.00,2.46,3.94,9.72,0,0,1.0000,3951,64,161.72,0.76,68.24,100.00
1003,25.39,-1.00,2.57,3.94,10.59,0,0,1.0000,3976,64,170.29,0.76,68.24,100.00
1049,26.26,-1.00,2.63,3.94,11.46,0,0,1.0000,3988,64,175.00,0.76,68.24,100.00
1094,27.57,-1.00,2.82,3.94,12.77,0,0,1.0000,3996,64,187.89,0.76,68.24,100.00
1139,28.58,-1.00,2.91,3.94,13.78,0,0,1.0000,4011,64,194.83,0.76,68.24,100.00
1176,29.89,-1.00,2.95,3.94,15.09,0,0,1.0000,4072,64,199.90,0.76,67.84,100.00
1222,30.76,-1.00,3.07,3.94,15.96,0,0,1.0000,4089,64,209.08,0.76,67.84,100.00
